N55528	lifestyle	lifestyleroyals	The Brands Queen Elizabeth, Prince Charles, and Prince Philip Swear By	Shop the notebooks, jackets, and more that the royals can't live without.	https://assets.msn.com/labs/mind/AAGH0ET.html	[{"Label": "Prince Philip, Duke of Edinburgh", "Type": "P", "WikidataId": "Q80976", "Confidence": 1.0, "OccurrenceOffsets": [48], "SurfaceForms": ["Prince Philip"]}, {"Label": "Charles, Prince of Wales", "Type": "P", "WikidataId": "Q43274", "Confidence": 1.0, "OccurrenceOffsets": [28], "SurfaceForms": ["Prince Charles"]}, {"Label": "Elizabeth II", "Type": "P", "WikidataId": "Q9682", "Confidence": 0.97, "OccurrenceOffsets": [11], "SurfaceForms": ["Queen Elizabeth"]}]	[]
N61864	news	newsopinion	The News In Cartoons	News as seen through the eyes of the nation's editorial cartoonists.	https://assets.msn.com/labs/mind/AABGTFJ.html	[]	[]
N36064	finance	finance-companies	More store closings coming: The list of retailers closing locations in 2019	More than 10 months into 2019, more than 8,600 stores are slated to close and more closings are expected. Is your favorite store closing?	https://assets.msn.com/labs/mind/AADN84N.html	[]	[]
N35788	autos	autosnews	Extreme Jeep Wrangler Prototype Caught Testing in Michigan	Could this be a peek at a future Wrangler variant with even more off-road capability?	https://assets.msn.com/labs/mind/AAEwmWX.html	[{"Label": "Jeep Wrangler", "Type": "V", "WikidataId": "Q1353305", "Confidence": 0.993, "OccurrenceOffsets": [8], "SurfaceForms": ["Jeep Wrangler"]}]	[{"Label": "Jeep Wrangler", "Type": "V", "WikidataId": "Q1353305", "Confidence": 0.993, "OccurrenceOffsets": [33], "SurfaceForms": ["Wrangler"]}]
N61167	movies	movies-gallery	Must-see biopics	Take a look at the greatest true-life biographical stories on the big screen.	https://assets.msn.com/labs/mind/AABsqwH.html	[]	[]
N27190	sports	football_nfl	Redskins place TE Jordan Reed on injured reserve, ending his season	The Redskins are calling it quits on the season for Jordan Reed, placing him on the IR as he continues to battle back from a concussion.	https://assets.msn.com/labs/mind/AAIGvDn.html	[{"Label": "Jordan Reed", "Type": "P", "WikidataId": "Q6276908", "Confidence": 1.0, "OccurrenceOffsets": [18], "SurfaceForms": ["Jordan Reed"]}, {"Label": "Washington Redskins", "Type": "O", "WikidataId": "Q212654", "Confidence": 0.98, "OccurrenceOffsets": [0], "SurfaceForms": ["Redskins"]}, {"Label": "Tight end", "Type": "C", "WikidataId": "Q1153176", "Confidence": 1.0, "OccurrenceOffsets": [15], "SurfaceForms": ["TE"]}]	[{"Label": "Jordan Reed", "Type": "P", "WikidataId": "Q6276908", "Confidence": 1.0, "OccurrenceOffsets": [52], "SurfaceForms": ["Jordan Reed"]}, {"Label": "Washington Redskins", "Type": "O", "WikidataId": "Q212654", "Confidence": 0.98, "OccurrenceOffsets": [4], "SurfaceForms": ["Redskins"]}]
N9035	sports	football_nfl	NFL Week 9 Odds: Point Spreads, Betting Lines For All 14 Football Games	Another week has passed and still the New England Patriots and San Francisco ers remain undefeated. That very well could change in Week though particularly for the Patriots who have	https://assets.msn.com/labs/mind/AAJwfdx.html	[]	[{"Label": "New England Patriots", "Type": "O", "WikidataId": "Q193390", "Confidence": 1.0, "OccurrenceOffsets": [38, 164], "SurfaceForms": ["New England Patriots", "Patriots"]}]
N19651	lifestyle	lifestyleshopping	27 products you only need to buy once in your life	Here are all of the brands with true lifetime warranties that will replace, repair, or refund you for your purchase, at any time.	https://assets.msn.com/labs/mind/AABw7ES.html	[]	[]
N22957	foodanddrink	restaurantsandnews	Ranking 26 fast-food fried-chicken sandwiches (including Popeyes)	The world has been abuzz this week with talk of Popeyes fried chicken sandwich. But how does it stack up in a packed field of competitors? Nick Kindelsperger of the Chicago Tribune offers up his view.	https://assets.msn.com/labs/mind/AAGaV0d.html	[{"Label": "Popeyes", "Type": "O", "WikidataId": "Q1330910", "Confidence": 1.0, "OccurrenceOffsets": [57], "SurfaceForms": ["Popeyes"]}]	[{"Label": "Popeyes", "Type": "O", "WikidataId": "Q1330910", "Confidence": 1.0, "OccurrenceOffsets": [48], "SurfaceForms": ["Popeyes"]}, {"Label": "Chicago Tribune", "Type": "M", "WikidataId": "Q47596", "Confidence": 1.0, "OccurrenceOffsets": [165], "SurfaceForms": ["Chicago Tribune"]}]
N63006	finance	finance-savemoney	17 Surprising Ways Penny-Pinching Costs You More	Frugal living could end up costing you in the long run.	https://assets.msn.com/labs/mind/AAB4M2y.html	[]	[]
N5159	travel	traveltripideas	The Fascinating Story Behind Where 'Hocus Pocus' Was Filmed	You can visit Max and Dani's home ... if you dare.	https://assets.msn.com/labs/mind/AADmhmO.html	[{"Label": "Hocus Pocus (1993 film)", "Type": "W", "WikidataId": "Q431140", "Confidence": 1.0, "OccurrenceOffsets": [36], "SurfaceForms": ["Hocus Pocus"]}]	[]
N47685	health	mentalhealth	Early symptoms of dementia: Be aware of subtle signs	Would you be able to recognize the symptoms of this creeping affliction?	https://assets.msn.com/labs/mind/AAI3Gx9.html	[]	[]
N44720	news	newsus	Man killed in officer-involved shooting in St. Louis	A man was killed in an officer-involved shooting Sunday morning, according to the St. Louis Metropolitan Police Department. It happened near 13th and Clinton. Police said they tried to pull over the man for a traffic violation, which led to a short chase. Eventually the car ran over an obstruction, causing a crash. St. Louis police said the man ran off and officers used a taser to try to stop him, but they said he pulled out a weapon and pointed...	https://assets.msn.com/labs/mind/AAJ44DD.html	[]	[{"Label": "Metropolitan Police Department, City of St. Louis", "Type": "O", "WikidataId": "Q19876954", "Confidence": 1.0, "OccurrenceOffsets": [82, 317], "SurfaceForms": ["St. Louis Metropolitan Police Department", "St. Louis police"]}]
N55024	lifestyle	lifestylesmartliving	40 Etiquette Mistakes You Need to Stop Making by Age 40	From errors you make on the phone to rude things you do with your significant other, clean up your act by ditching these etiquette mistake in your 40s.	https://assets.msn.com/labs/mind/AACJkDv.html	[]	[{"Label": "Eukaryotic small ribosomal subunit (40S)", "Type": "U", "WikidataId": "Q4637383", "Confidence": 0.921, "OccurrenceOffsets": [147], "SurfaceForms": ["40s"]}]
N44162	sports	football_nfl	Patriots vs. Ravens: 3 keys to the game, fun facts, prediction	Finally, the Patriots will play a real game against a legitimate opponent. For the first time since Week 4, the Patriots should play in a compelling game, as they will take on the Ravens on the road Sunday night. While the Patriots are 8-0 on the year, the Ravens are 5-2 and coming off their bye. In their last game, they had one of the better wins of the season by going into Seattle and coming away with a 30-16 win. Lamar Jackson is also one of...	https://assets.msn.com/labs/mind/AAJJZwW.html	[{"Label": "Baltimore Ravens", "Type": "O", "WikidataId": "Q276539", "Confidence": 0.999, "OccurrenceOffsets": [13], "SurfaceForms": ["Ravens"]}]	[{"Label": "Baltimore Ravens", "Type": "O", "WikidataId": "Q276539", "Confidence": 0.999, "OccurrenceOffsets": [180, 257], "SurfaceForms": ["Ravens", "Ravens"]}, {"Label": "Lamar Jackson", "Type": "P", "WikidataId": "Q24809702", "Confidence": 1.0, "OccurrenceOffsets": [420], "SurfaceForms": ["Lamar Jackson"]}, {"Label": "Seattle", "Type": "G", "WikidataId": "Q5083", "Confidence": 0.994, "OccurrenceOffsets": [378], "SurfaceForms": ["Seattle"]}]
N52683	health	fitness	14 Celebs Over 50 Who Are In The Best Shape Of Their Lives	A list of celebs over 50 who take health and fitness very seriously   and it shows!	https://assets.msn.com/labs/mind/AABHaIE.html	[{"Label": "Shape (magazine)", "Type": "M", "WikidataId": "Q327416", "Confidence": 0.984, "OccurrenceOffsets": [38], "SurfaceForms": ["Shape"]}]	[]
N8185	autos	autosclassics	The Oldsmobile Toronado - was it the ultimate personal car?	The first front-drive American car for 30 years remains an intriguing prospect today	https://assets.msn.com/labs/mind/AAEwyaZ.html	[{"Label": "Oldsmobile Toronado", "Type": "V", "WikidataId": "Q1537791", "Confidence": 1.0, "OccurrenceOffsets": [4], "SurfaceForms": ["Oldsmobile Toronado"]}]	[]
N1358	video	news	With impeachment inquiry 'concerns' getting addressed, GOP have nowhere to go	Joe Scarborough lists through the complaints Republicans have been rattling off about the impeachment inquiry, including the need for a direct source and a process vote. With both things now on the table, it's a very bad day for the Trump Republicans.	https://assets.msn.com/labs/mind/AAJwfhO.html	[{"Label": "Republican Party (United States)", "Type": "O", "WikidataId": "Q29468", "Confidence": 0.99, "OccurrenceOffsets": [55], "SurfaceForms": ["GOP"]}]	[{"Label": "Joe Scarborough", "Type": "P", "WikidataId": "Q1280288", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Joe Scarborough"]}, {"Label": "Republican Party (United States)", "Type": "O", "WikidataId": "Q29468", "Confidence": 0.99, "OccurrenceOffsets": [45], "SurfaceForms": ["Republicans"]}]
N39817	lifestyle	shop-all	28 Surprisingly Good Costco, Walmart, and Target Products	If you know Costco, Walmart, and Target best for store-brand food bargains, don't overlook these household products. Whether you're in the market for cleaning products, home decor, or men's and women's clothing, shoppers can find store-brand versions that deliver the goods at budget prices.	https://assets.msn.com/labs/mind/AAEGWcG.html	[{"Label": "Costco", "Type": "O", "WikidataId": "Q715583", "Confidence": 1.0, "OccurrenceOffsets": [21], "SurfaceForms": ["Costco"]}, {"Label": "Walmart", "Type": "O", "WikidataId": "Q483551", "Confidence": 1.0, "OccurrenceOffsets": [29], "SurfaceForms": ["Walmart"]}]	[{"Label": "Costco", "Type": "O", "WikidataId": "Q715583", "Confidence": 1.0, "OccurrenceOffsets": [12], "SurfaceForms": ["Costco"]}, {"Label": "Target Corporation", "Type": "O", "WikidataId": "Q1046951", "Confidence": 1.0, "OccurrenceOffsets": [33], "SurfaceForms": ["Target"]}, {"Label": "Walmart", "Type": "O", "WikidataId": "Q483551", "Confidence": 1.0, "OccurrenceOffsets": [20], "SurfaceForms": ["Walmart"]}]
N54799	health	fitness	17 Low-Impact Workouts You Should Try If You're Not In Your 20s Anymore	These exercises will make you sweat, but won't injure you!	https://assets.msn.com/labs/mind/AABpggG.html	[]	[]
N34169	lifestyle	lifestyleroyals	When royals lose their tempers, from the Queen to Kate Middleton	See all the times the royal family have lost their tempers in public.	https://assets.msn.com/labs/mind/AACkZ0W.html	[{"Label": "Catherine, Duchess of Cambridge", "Type": "P", "WikidataId": "Q10479", "Confidence": 1.0, "OccurrenceOffsets": [50], "SurfaceForms": ["Kate Middleton"]}]	[]
N33303	finance	finance-career	25 Hot Jobs That Pay More Than $100,000 a Year	Landing a six-figure salary is easy with these careers.	https://assets.msn.com/labs/mind/AAEMP1E.html	[{"Label": "Monster.com", "Type": "O", "WikidataId": "Q692041", "Confidence": 1.0, "OccurrenceOffsets": [3], "SurfaceForms": ["Hot Jobs"]}, {"Label": "More Than (company)", "Type": "O", "WikidataId": "Q20713193", "Confidence": 1.0, "OccurrenceOffsets": [21], "SurfaceForms": ["More Than"]}]	[]
N51340	lifestyle	lifestyleroyals	Queen Elizabeth's Cousin Says Royal Family 'Don't Communicate Very Well'	Queen Elizabeth's Cousin: Royal Family 'Don't Communicate Very Well'	https://assets.msn.com/labs/mind/AAGCsB5.html	[]	[]
N46021	health	medical	12 ways your skin can react to stress, according to a dermatologist	Stress can play a big part in your skin's overall health. From acne to sweat, we asked an expert for some ways that stress can affect your skin.	https://assets.msn.com/labs/mind/AABHeY0.html	[]	[]
N13855	news	newsus	Ikea US president backpedals on meeting parents of children killed by recalled dressers	After inviting the parents of children who died in tip-overs of Ikea dressers to meet with him, Ikea's US president has refused to set a date.	https://assets.msn.com/labs/mind/AAJWDWr.html	[]	[{"Label": "IKEA", "Type": "O", "WikidataId": "Q54078", "Confidence": 1.0, "OccurrenceOffsets": [64, 96], "SurfaceForms": ["Ikea", "Ikea"]}]
N16556	news	newsus	Multi-vehicle accident on I-64 in James City County causes miles-long backup	Multiple vehicle accidents on Interstate 64 in James City County shut down lanes and caused traffic headaches for drivers on Saturday. The accidents occurred near Camp Peary and Barlow Road, according to VDOT. Drivers were stuck in traffic for hours and backups by 1 p.m were around 6 miles long. VDOT is advising drivers to avoid the area if possible especially at mile markers 235 and 238. As of 1 p.m., all west lanes are back open. Virginia...	https://assets.msn.com/labs/mind/AAIGvGa.html	[{"Label": "Interstate 64", "Type": "S", "WikidataId": "Q94388", "Confidence": 1.0, "OccurrenceOffsets": [26], "SurfaceForms": ["I-64"]}, {"Label": "James City County, Virginia", "Type": "G", "WikidataId": "Q337688", "Confidence": 1.0, "OccurrenceOffsets": [34], "SurfaceForms": ["James City County"]}]	[{"Label": "Virginia Department of Transportation", "Type": "O", "WikidataId": "Q7934247", "Confidence": 1.0, "OccurrenceOffsets": [204, 297], "SurfaceForms": ["VDOT", "VDOT"]}, {"Label": "Interstate 64", "Type": "S", "WikidataId": "Q94388", "Confidence": 1.0, "OccurrenceOffsets": [30], "SurfaceForms": ["Interstate 64"]}, {"Label": "James City County, Virginia", "Type": "G", "WikidataId": "Q337688", "Confidence": 1.0, "OccurrenceOffsets": [47], "SurfaceForms": ["James City County"]}, {"Label": "Camp Peary", "Type": "S", "WikidataId": "Q488929", "Confidence": 1.0, "OccurrenceOffsets": [163], "SurfaceForms": ["Camp Peary"]}, {"Label": "Barlow Road", "Type": "L", "WikidataId": "Q3443993", "Confidence": 1.0, "OccurrenceOffsets": [178], "SurfaceForms": ["Barlow Road"]}]
N22679	sports	golf	Dissecting the softer, gentler Tiger Woods	The truth is that Tiger has been a nicer person than he has received credit for.	https://assets.msn.com/labs/mind/AAJwfsl.html	[{"Label": "Tiger Woods", "Type": "P", "WikidataId": "Q10993", "Confidence": 1.0, "OccurrenceOffsets": [31], "SurfaceForms": ["Tiger Woods"]}]	[{"Label": "Tiger Woods", "Type": "P", "WikidataId": "Q10993", "Confidence": 1.0, "OccurrenceOffsets": [18], "SurfaceForms": ["Tiger"]}]
N24423	foodanddrink	quickandeasy	39 Appetizers for a Crowd That Are Easy and Unexpected	Whether you're hosting a dinner party or an impromptu gathering, you're going to need snacks. Here are 39 appetizer recipes for a crowd that are easy to make and even easier to eat.	https://assets.msn.com/labs/mind/AAGaXY3.html	[]	[]
N20084	lifestyle	lifestylehoroscope	How To Guess Someone's Zodiac Sign	Do you have what it takes to guess?	https://assets.msn.com/labs/mind/AABi3Yb.html	[]	[]
N18393	lifestyle	lifestylehoroscope	What Men Find Attractive According To Their Zodiac Sign	A debate that comes up time and time again, what do men like?	https://assets.msn.com/labs/mind/AAAMmOS.html	[]	[]
N7141	sports	football_nfl	Rams Week 8 snap count analysis	The LA Rams' game plan involved a lot of Cooper Kupp, and not so much Gerald Everett in their Wembley win	https://assets.msn.com/labs/mind/AAJwpRi.html	[]	[{"Label": "Gerald Everett", "Type": "P", "WikidataId": "Q28777627", "Confidence": 1.0, "OccurrenceOffsets": [70], "SurfaceForms": ["Gerald Everett"]}, {"Label": "Cooper Kupp", "Type": "P", "WikidataId": "Q16235552", "Confidence": 1.0, "OccurrenceOffsets": [41], "SurfaceForms": ["Cooper Kupp"]}]
N11663	news	newsgoodnews	These College Friends Pledged To Stay In Touch---60 Years Later, They Still Do	Since 1956, a tight-knit group of sorority sisters have helped each other through weddings, careers, children and old age by writing letters; 'Our letters reflect the seasons of our lives so much.'	https://assets.msn.com/labs/mind/AAI3Kvr.html	[]	[]
N55435	sports	football_ncaa	Photos of College Football Cheerleaders	Photos of College Football Cheerleaders	https://assets.msn.com/labs/mind/AAGCsQC.html	[{"Label": "College football", "Type": "O", "WikidataId": "Q1109032", "Confidence": 0.998, "OccurrenceOffsets": [10], "SurfaceForms": ["College Football"]}]	[{"Label": "College football", "Type": "O", "WikidataId": "Q1109032", "Confidence": 0.998, "OccurrenceOffsets": [10], "SurfaceForms": ["College Football"]}]
N39173	finance	retirement	5 reasons Gen Xers are struggling with retirement savings	And what to do about them.	https://assets.msn.com/labs/mind/AAJ44GF.html	[]	[]
N33874	lifestyle	voices	The Most Important Things Fatherhood Has Taught Me About Being a Man	"They don't want the 'pretend you have it all together' version of me, they simply want me. To be present. To be engaged. To be there. To be real."	https://assets.msn.com/labs/mind/AACJz2g.html	[]	[]
N44661	lifestyle	lifestylehomeandgarden	Fall Home Maintenance Checklist: 20 Things to Do Every Year	Feel that nip in the air? Fall has arrived! Here's how to get your home and yard ready for winter before it's too late.	https://assets.msn.com/labs/mind/AAHdzb1.html	[{"Label": "Home repair", "Type": "C", "WikidataId": "Q5889160", "Confidence": 1.0, "OccurrenceOffsets": [5], "SurfaceForms": ["Home Maintenance"]}]	[]
N41976	health	ads-lung-health	Study: Third-Hand Smoke Can Damage Your Lungs	Third-hand smoke is the residual chemicals, including nicotine, that tobacco smoke imparts to indoor surfaces, vehicles, clothing, and hair.	https://assets.msn.com/labs/mind/AADNBr5.html	[]	[]
N36820	finance	personalfinance	Toad, Pasta and Other Unusual Names for Money Around the World	Learn the ever-evolving slang for money across the globe.	https://assets.msn.com/labs/mind/AAEySBu.html	[]	[]
N54727	lifestyle	lifestyleroyals	The surprising age differences between your favorite royal couples	Here are the age differences between Meghan Markle and Prince Harry, Prince William and Kate Middleton, and other famous royal couples.	https://assets.msn.com/labs/mind/AAE2gnD.html	[]	[{"Label": "Meghan, Duchess of Sussex", "Type": "N", "WikidataId": "Q3304418", "Confidence": 1.0, "OccurrenceOffsets": [37], "SurfaceForms": ["Meghan Markle"]}, {"Label": "Prince Harry, Duke of Sussex", "Type": "N", "WikidataId": "Q152316", "Confidence": 1.0, "OccurrenceOffsets": [55], "SurfaceForms": ["Prince Harry"]}, {"Label": "Prince William, Duke of Cambridge", "Type": "P", "WikidataId": "Q36812", "Confidence": 1.0, "OccurrenceOffsets": [69], "SurfaceForms": ["Prince William"]}, {"Label": "Catherine, Duchess of Cambridge", "Type": "P", "WikidataId": "Q10479", "Confidence": 1.0, "OccurrenceOffsets": [88], "SurfaceForms": ["Kate Middleton"]}]
N11683	finance	finance-top-stocks	BP profit beats as strong refining offsets lower oil price	BP Plc reported profit that beat analyst estimates as a strong refining performance offset the effect of lower oil and natural gas prices, and bad weather that curbed production. The positive result will please investors expecting a gloomy third quarter for Big Oil. Crude prices have fallen as the U.S.-China trade war stokes demand concerns, while American output has continued to flood the market. "BP delivered strong operating cash flow and...	https://assets.msn.com/labs/mind/AAJwfuv.html	[{"Label": "BP", "Type": "O", "WikidataId": "Q152057", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["BP"]}]	[{"Label": "BP", "Type": "O", "WikidataId": "Q152057", "Confidence": 1.0, "OccurrenceOffsets": [0, 402], "SurfaceForms": ["BP Plc", "BP"]}, {"Label": "Big Oil", "Type": "U", "WikidataId": "Q1330390", "Confidence": 1.0, "OccurrenceOffsets": [258], "SurfaceForms": ["Big Oil"]}, {"Label": "China\u2013United States relations", "Type": "B", "WikidataId": "Q2280045", "Confidence": 1.0, "OccurrenceOffsets": [299], "SurfaceForms": ["U.S.-China"]}]
N19401	autos	autosnews	Best website defacement monitoring service of 2019	Keep a watchful eye out for unauthorized tampering with your website by using these tools.	https://assets.msn.com/labs/mind/AAC9inp.html	[]	[]
N31442	foodanddrink	quickandeasy	How to Take Chicken Breasts From Frozen to Shredded in an Instant	When I have boneless, skinless chicken breasts in my freezer, I like to make a batch of shredded chicken in the Instant Pot straight from frozen and turn it into all manner of meals throughout the week.	https://assets.msn.com/labs/mind/AAJl3wq.html	[]	[{"Label": "Instant Pot", "Type": "U", "WikidataId": "Q48989064", "Confidence": 1.0, "OccurrenceOffsets": [112], "SurfaceForms": ["Instant Pot"]}]
N47214	news	newspolitics	Here are the lawmakers who are not seeking reelection to Congress in 2020	The battle for control of Congress is more than a year away but some lawmakers are already deciding not to run for reelection, setting up a few potentially interesting campaigns in the 2020 election.	https://assets.msn.com/labs/mind/AAFcidm.html	[]	[]
N31402	foodanddrink	restaurantsandnews	The Best Seafood Restaurant in All 50 States	Think there are too many seafood places in Maine to choose among, but none in landlocked Nebraska? This list will point your cravings and more in the right direction. Whether it's shrimp, crab, fish, or sushi that you love, even the most landlocked states have top-notch options for seafood. Find out what's near you.	https://assets.msn.com/labs/mind/AACkb8L.html	[]	[{"Label": "Maine", "Type": "G", "WikidataId": "Q724", "Confidence": 0.998, "OccurrenceOffsets": [43], "SurfaceForms": ["Maine"]}, {"Label": "Nebraska", "Type": "G", "WikidataId": "Q1553", "Confidence": 0.999, "OccurrenceOffsets": [89], "SurfaceForms": ["Nebraska"]}]
N61358	health	nutrition	5 Foods That Can Actually Help Prevent Gray Hair	Don't say goodbye to your natural color just yet.	https://assets.msn.com/labs/mind/AAAMpLV.html	[{"Label": "Human hair color", "Type": "C", "WikidataId": "Q1048314", "Confidence": 1.0, "OccurrenceOffsets": [39], "SurfaceForms": ["Gray Hair"]}]	[]
N48632	finance	personalfinance	How much you must earn to be in the top 10% in your state	See what the highest earners in your state make.	https://assets.msn.com/labs/mind/AAEMYpH.html	[]	[]
N57699	health	wellness	Ahad Israfil, gunshot wound survivor, dies	Ahad Israfil, a Dayton man known for his remarkable recovery story after a gunshot wound to the head in 1987, has died.	https://assets.msn.com/labs/mind/AAJ4m2A.html	[{"Label": "Ahad Israfil", "Type": "P", "WikidataId": "Q4694900", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Ahad Israfil"]}]	[{"Label": "Ahad Israfil", "Type": "P", "WikidataId": "Q4694900", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Ahad Israfil"]}]
N27214	foodanddrink	recipes	19 Super Delicious Fall Soups Made From Scratch to Try Now (Including Pumpkin!)	Slurp away!	https://assets.msn.com/labs/mind/AADmyFH.html	[]	[]
N25174	weather	weathertopstories	Winter Storm Warning For Metro Denver, Boulder: Update		https://assets.msn.com/labs/mind/AAJwpSQ.html	[{"Label": "Boulder, Colorado", "Type": "G", "WikidataId": "Q192517", "Confidence": 1.0, "OccurrenceOffsets": [39], "SurfaceForms": ["Boulder"]}, {"Label": "Denver", "Type": "G", "WikidataId": "Q16554", "Confidence": 1.0, "OccurrenceOffsets": [31], "SurfaceForms": ["Denver"]}, {"Label": "Winter storm warning", "Type": "U", "WikidataId": "Q8026410", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Winter Storm Warning"]}]	[]
N51426	music	musicnews	Kanye West's 'Jesus is King' album still isn't here, fans aren't happy	Kanye West originally announced "Jesus is King" would drop Friday. Then he rescheduled for Sunday. The album still isn't here, and fans aren't happy.	https://assets.msn.com/labs/mind/AAI3N9s.html	[{"Label": "Kanye West", "Type": "P", "WikidataId": "Q15935", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Kanye West"]}]	[{"Label": "Kanye West", "Type": "P", "WikidataId": "Q15935", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Kanye West"]}]
N41013	news	newsopinion	Doug Schoen: Hillary vs. Trump in 2020? If Clinton is serious, here's best way for her to defeat the president	Even when she is out of the running for president, Hillary Clinton is still one of the most prominent voices in the Democratic Party.	https://assets.msn.com/labs/mind/AAINZYP.html	[{"Label": "Hillary Clinton", "Type": "P", "WikidataId": "Q6294", "Confidence": 1.0, "OccurrenceOffsets": [13, 43], "SurfaceForms": ["Hillary", "Clinton"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 1.0, "OccurrenceOffsets": [25], "SurfaceForms": ["Trump"]}, {"Label": "Douglas Schoen", "Type": "P", "WikidataId": "Q13522520", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Doug Schoen"]}]	[{"Label": "Hillary Clinton", "Type": "P", "WikidataId": "Q6294", "Confidence": 1.0, "OccurrenceOffsets": [51], "SurfaceForms": ["Hillary Clinton"]}, {"Label": "Democratic Party (United States)", "Type": "O", "WikidataId": "Q29552", "Confidence": 0.999, "OccurrenceOffsets": [116], "SurfaceForms": ["Democratic Party"]}]
N19888	sports	football_nfl	Titans force 4 turnovers by Winston, hold off Buccaneers	The Tennessee Titans rallied to beat the Tampa Bay Buccaneers 27-23 Sunday for their second straight win.	https://assets.msn.com/labs/mind/AAJrFux.html	[{"Label": "Tampa Bay Buccaneers", "Type": "O", "WikidataId": "Q320476", "Confidence": 1.0, "OccurrenceOffsets": [46], "SurfaceForms": ["Buccaneers"]}, {"Label": "Jameis Winston", "Type": "P", "WikidataId": "Q6127917", "Confidence": 0.995, "OccurrenceOffsets": [28], "SurfaceForms": ["Winston"]}, {"Label": "Tennessee Titans", "Type": "O", "WikidataId": "Q320484", "Confidence": 0.999, "OccurrenceOffsets": [0], "SurfaceForms": ["Titans"]}]	[{"Label": "Tampa Bay Buccaneers", "Type": "O", "WikidataId": "Q320476", "Confidence": 1.0, "OccurrenceOffsets": [41], "SurfaceForms": ["Tampa Bay Buccaneers"]}, {"Label": "Tennessee Titans", "Type": "O", "WikidataId": "Q320484", "Confidence": 0.999, "OccurrenceOffsets": [4], "SurfaceForms": ["Tennessee Titans"]}]
N45191	lifestyle	shop-all	Amazon Says These Are Its Funniest Customer Reviews		https://assets.msn.com/labs/mind/AAEyYIZ.html	[{"Label": "Amazon (company)", "Type": "O", "WikidataId": "Q3884", "Confidence": 0.992, "OccurrenceOffsets": [0], "SurfaceForms": ["Amazon"]}]	[]
N60535	sports	football_nfl	Josh Gordon, New Patriots Receiver Mohamed Sanu Share Laugh At Practice	Josh Gordon and Mohamed Sanu were all smiles Wednesday at Gillette Stadium -- and who can blame them Sanu officially joined the New England Patriots on Wednesday following his trade from the	https://assets.msn.com/labs/mind/AAJfTz1.html	[{"Label": "Josh Gordon", "Type": "P", "WikidataId": "Q24204", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Josh Gordon"]}, {"Label": "New England Patriots", "Type": "O", "WikidataId": "Q193390", "Confidence": 1.0, "OccurrenceOffsets": [17], "SurfaceForms": ["Patriots"]}]	[{"Label": "Mohamed Sanu", "Type": "P", "WikidataId": "Q3860113", "Confidence": 1.0, "OccurrenceOffsets": [16, 101], "SurfaceForms": ["Mohamed Sanu", "Sanu"]}, {"Label": "Josh Gordon", "Type": "P", "WikidataId": "Q24204", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Josh Gordon"]}, {"Label": "New England Patriots", "Type": "O", "WikidataId": "Q193390", "Confidence": 1.0, "OccurrenceOffsets": [128], "SurfaceForms": ["New England Patriots"]}, {"Label": "Gillette Stadium", "Type": "S", "WikidataId": "Q373355", "Confidence": 1.0, "OccurrenceOffsets": [58], "SurfaceForms": ["Gillette Stadium"]}]
N47600	lifestyle	causes	People Told My Daughter With a Disability She Wouldn't Be Able to Do Everything She Does Today	I wish I had a dollar for every time someone told me that diagnosis is just a word.	https://assets.msn.com/labs/mind/AAAD4c7.html	[]	[]
